,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip
2745,654.459,44,5203,60,icmp,10.0.0.61,10.0.0.5
2746,642.507,43,5271,60,icmp,10.0.0.62,10.0.0.5
2747,636.308,42,5046,60,icmp,10.0.0.63,10.0.0.5
2748,626.448,41,4944,60,icmp,10.0.0.64,10.0.0.5
2749,620.883,40,4911,60,icmp,10.0.0.65,10.0.0.5
2750,604.235,39,4610,60,icmp,10.0.0.66,10.0.0.5
2751,593.579,38,4827,60,icmp,10.0.0.67,10.0.0.5
2752,583.724,37,4455,60,icmp,10.0.0.68,10.0.0.5
2753,560.83,36,4209,60,icmp,10.0.0.69,10.0.0.5
2754,545.014,35,4074,60,icmp,10.0.0.70,10.0.0.5
2755,536.593,34,4101,60,icmp,10.0.0.71,10.0.0.5
2756,520.318,33,3836,60,icmp,10.0.0.72,10.0.0.5
2757,511.858,32,3900,60,icmp,10.0.0.73,10.0.0.5
2758,489.043,31,3631,60,icmp,10.0.0.74,10.0.0.5
2759,469.304,30,3671,60,icmp,10.0.0.75,10.0.0.5
2760,451.96,29,3424,60,icmp,10.0.0.76,10.0.0.5
2761,436.331,28,3419,60,icmp,10.0.0.77,10.0.0.5
2762,421.243,27,3186,60,icmp,10.0.0.78,10.0.0.5
2763,413.536,26,3223,60,icmp,10.0.0.79,10.0.0.5
2764,394.54,25,2855,60,icmp,10.0.0.80,10.0.0.5
2765,373.337,24,2717,60,icmp,10.0.0.81,10.0.0.5
2766,361.798,23,2773,60,icmp,10.0.0.82,10.0.0.5
2767,345.724,22,2525,60,icmp,10.0.0.83,10.0.0.5
2768,321.552,21,2599,60,icmp,10.0.0.84,10.0.0.5
2769,307.01,20,2456,60,icmp,10.0.0.85,10.0.0.5
2770,291.358,19,2228,60,icmp,10.0.0.86,10.0.0.5
2771,281.102,18,2013,60,icmp,10.0.0.87,10.0.0.5
2772,264.9,17,2032,60,icmp,10.0.0.88,10.0.0.5
2773,243.8,16,1774,60,icmp,10.0.0.89,10.0.0.5
2774,224.47,15,1693,60,icmp,10.0.0.90,10.0.0.5
2775,202.311,14,1680,60,icmp,10.0.0.91,10.0.0.5
2776,182.524,13,1509,60,icmp,10.0.0.92,10.0.0.5
2777,168.048,12,1430,60,icmp,10.0.0.93,10.0.0.5
2778,149.64,11,1328,60,icmp,10.0.0.94,10.0.0.5
2779,138.407,10,1090,60,icmp,10.0.0.95,10.0.0.5
2780,125.201,9,1016,60,icmp,10.0.0.96,10.0.0.5
2781,116.272,8,817,60,icmp,10.0.0.97,10.0.0.5
2782,107.518,7,784,60,icmp,10.0.0.98,10.0.0.5
2783,86.434,6,614,60,icmp,10.0.0.99,10.0.0.5
2784,77.354,5,419,60,icmp,10.0.0.100,10.0.0.5
2785,64.919,4,447,60,icmp,10.0.0.101,10.0.0.5
2786,46.219,3,224,60,icmp,10.0.0.102,10.0.0.5
2787,38.142,2,113,60,icmp,10.0.0.103,10.0.0.5
2788,18.816,1,12002,60,icmp,10.0.0.104,10.0.0.5
2789,1289.676,98,12231,60,icmp,10.0.0.5,10.0.0.2
2790,1289.616,98,12231,60,icmp,10.0.0.3,10.0.0.5
2791,1289.613,98,12217,60,icmp,10.0.0.5,10.0.0.3
2792,1289.564,98,12217,60,icmp,10.0.0.4,10.0.0.5
2793,1289.563,98,12399,60,icmp,10.0.0.5,10.0.0.4
