"No.","Time","Source","Destination","Protocol","Length","Type","Code","Timestamp from icmp data","Info"
"329","153.919199771","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:23.000000000 PDT","Echo (ping) request  id=0x0e90, seq=148/37888, ttl=64 (reply in 330)"
"330","153.919239615","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:23.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=148/37888, ttl=64 (request in 329)"
"331","154.943284055","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:25.000000000 PDT","Echo (ping) request  id=0x0e90, seq=149/38144, ttl=64 (reply in 332)"
"332","154.943320881","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:25.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=149/38144, ttl=64 (request in 331)"
"333","155.967083577","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:26.000000000 PDT","Echo (ping) request  id=0x0e90, seq=150/38400, ttl=64 (reply in 334)"
"334","155.967125050","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:26.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=150/38400, ttl=64 (request in 333)"
"335","156.991168538","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:27.000000000 PDT","Echo (ping) request  id=0x0e90, seq=151/38656, ttl=64 (reply in 336)"
"336","156.991205953","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:27.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=151/38656, ttl=64 (request in 335)"
"337","158.015191350","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:28.000000000 PDT","Echo (ping) request  id=0x0e90, seq=152/38912, ttl=64 (reply in 338)"
"338","158.015228521","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:28.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=152/38912, ttl=64 (request in 337)"
"339","159.039193020","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:29.000000000 PDT","Echo (ping) request  id=0x0e90, seq=153/39168, ttl=64 (reply in 340)"
