Packet,RTT
IP / ICMP 10.0.0.1 > 10.0.0.4 echo-request 0,0.09353041648864746
IP / ICMP 10.0.0.1 > 10.0.0.5 echo-request 0,0.09136104583740234
IP / ICMP 10.0.0.1 > 10.0.0.6 echo-request 0,0.10713458061218262
IP / ICMP 10.0.0.1 > 10.0.0.7 echo-request 0,0.09086489677429199
IP / ICMP 10.0.0.1 > 10.0.0.8 echo-request 0,0.09375691413879395
IP / ICMP 10.0.0.1 > 10.0.0.9 echo-request 0,0.10752320289611816
IP / ICMP 10.0.0.1 > 10.0.0.10 echo-request 0,0.1065678596496582
IP / ICMP 10.0.0.1 > 10.0.0.2 echo-request 0,0.0918729305267334
IP / ICMP 10.0.0.1 > 10.0.0.3 echo-request 0,0.09215879440307617
IP / ICMP 10.0.0.1 > 10.0.0.4 echo-request 0,0.10848665237426758
IP / ICMP 10.0.0.1 > 10.0.0.5 echo-request 0,0.09309792518615723
IP / ICMP 10.0.0.1 > 10.0.0.6 echo-request 0,0.10926032066345215
IP / ICMP 10.0.0.1 > 10.0.0.7 echo-request 0,0.07947540283203125
IP / ICMP 10.0.0.1 > 10.0.0.8 echo-request 0,0.09511756896972656
IP / ICMP 10.0.0.1 > 10.0.0.9 echo-request 0,0.08000469207763672
IP / ICMP 10.0.0.1 > 10.0.0.10 echo-request 0,0.07258033752441406
IP / ICMP 10.0.0.1 > 10.0.0.2 echo-request 0,0.1860649585723877
IP / ICMP 10.0.0.1 > 10.0.0.3 echo-request 0,0.2318434715270996
IP / ICMP 10.0.0.1 > 10.0.0.4 echo-request 0,0.21685361862182617
IP / ICMP 10.0.0.1 > 10.0.0.5 echo-request 0,0.17029762268066406
IP / ICMP 10.0.0.1 > 10.0.0.6 echo-request 0,0.20439815521240234
IP / ICMP 10.0.0.1 > 10.0.0.7 echo-request 0,0.19982123374938965
IP / ICMP 10.0.0.1 > 10.0.0.8 echo-request 0,0.18504762649536133
IP / ICMP 10.0.0.1 > 10.0.0.9 echo-request 0,0.16910052299499512
IP / ICMP 10.0.0.1 > 10.0.0.10 echo-request 0,0.21533632278442383
IP / ICMP 10.0.0.1 > 10.0.0.2 echo-request 0,0.09250473976135254
IP / ICMP 10.0.0.1 > 10.0.0.3 echo-request 0,0.09259462356567383
IP / ICMP 10.0.0.1 > 10.0.0.4 echo-request 0,0.07686138153076172
IP / ICMP 10.0.0.1 > 10.0.0.5 echo-request 0,0.10868430137634277
IP / ICMP 10.0.0.1 > 10.0.0.6 echo-request 0,0.10978865623474121
IP / ICMP 10.0.0.1 > 10.0.0.7 echo-request 0,0.0922698974609375
IP / ICMP 10.0.0.1 > 10.0.0.8 echo-request 0,0.07751131057739258
