,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip
142,64.415,2,120, 60,icmp,10.0.1.8,10.0.1.3
143,64.367,2,160, 60,tcp,10.0.1.17,10.0.1.3
144,64.311,4,240, 60,icmp,10.0.1.7,10.0.1.3
145,64.311,2,120, 60,icmp,10.0.1.10,10.0.1.3
146,64.309,5,300, 60,icmp,10.0.1.8,10.0.1.3
147,64.299,3,180, 60,icmp,10.0.1.2,10.0.1.3
148,64.276,2,120, 60,icmp,10.0.1.8,10.0.1.3
149,64.274,2,120, 60,icmp,10.0.1.9,10.0.1.3
150,64.228,2,192, 60,udp,10.0.1.9,10.0.1.3
151,64.192,2,192, 60,udp,10.0.1.8,10.0.1.3
152,64.107,2,120, 60,icmp,10.0.1.9,10.0.1.3
153,64.106,2,120, 60,icmp,10.0.1.10,10.0.1.3
154,64.075,2,120, 60,icmp,10.0.1.5,10.0.1.3
155,64.06,3,180, 60,icmp,10.0.1.15,10.0.1.3
156,63.981,3,180, 60,icmp,10.0.1.7,10.0.1.3
157,63.956,3,252, 60,tcp,10.0.1.12,10.0.1.3
158,63.912,3,180, 60,icmp,10.0.1.13,10.0.1.3
159,63.873,2,120, 60,icmp,10.0.1.14,10.0.1.3
160,63.872,2,120, 60,icmp,10.0.1.15,10.0.1.3
161,63.75,3,180, 60,icmp,10.0.1.7,10.0.1.3
162,63.626,3,210, 60,tcp,10.0.1.18,10.0.1.3
163,63.61,2,120, 60,icmp,10.0.1.13,10.0.1.3
164,63.393,2,120, 60,icmp,10.0.1.5,10.0.1.3
165,63.361,3,180, 60,icmp,10.0.1.8,10.0.1.3
166,63.358,2,120, 60,icmp,10.0.1.12,10.0.1.3
167,63.351,2,120, 60,icmp,10.0.1.19,10.0.1.3
168,63.346,2,120, 60,icmp,10.0.1.2,10.0.1.3
169,63.346,2,120, 60,icmp,10.0.1.4,10.0.1.3
170,63.311,2,120, 60,icmp,10.0.1.16,10.0.1.3
171,63.31,4,240, 60,icmp,10.0.1.19,10.0.1.3
172,62.811,12,936, 60,tcp,10.0.1.15,10.0.1.3
173,62.702,2,126, 60,tcp,10.0.1.17,10.0.1.3
174,62.676,2,120, 60,icmp,10.0.1.17,10.0.1.3
175,62.667,2,120, 60,icmp,10.0.1.18,10.0.1.3
176,62.665,2,120, 60,icmp,10.0.1.1,10.0.1.3
177,62.662,6,360, 60,icmp,10.0.1.7,10.0.1.3
178,62.661,3,180, 60,icmp,10.0.1.8,10.0.1.3
179,62.654,2,120, 60,icmp,10.0.1.11,10.0.1.3
180,62.654,2,120, 60,icmp,10.0.1.12,10.0.1.3
181,62.65,2,120, 60,icmp,10.0.1.13,10.0.1.3
182,62.649,2,120, 60,tcp,10.0.1.14,10.0.1.3
