,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip
157,319.905,120,10080,60,tcp,10.0.1.12,10.0.1.3
158,319.78,120,7200,60,icmp,10.0.1.13,10.0.1.3
159,319.56,80,4800,60,icmp,10.0.1.14,10.0.1.3
160,319.365,80,4800,60,icmp,10.0.1.15,10.0.1.3
161,319.36,120,7200,60,icmp,10.0.1.7,10.0.1.3
162,318.75,120,8400,60,tcp,10.0.1.18,10.0.1.3
163,318.13,80,4800,60,icmp,10.0.1.13,10.0.1.3
164,318.05,80,4800,60,icmp,10.0.1.5,10.0.1.3
165,316.965,120,7200,60,icmp,10.0.1.8,10.0.1.3
166,316.805,80,4800,60,icmp,10.0.1.12,10.0.1.3
167,316.79,80,4800,60,icmp,10.0.1.19,10.0.1.3
168,316.755,80,4800,60,icmp,10.0.1.2,10.0.1.3
169,316.73,80,4800,60,icmp,10.0.1.4,10.0.1.3
170,316.73,80,4800,60,icmp,10.0.1.16,10.0.1.3
171,316.555,160,9600,60,icmp,10.0.1.19,10.0.1.3
172,316.55,480,37440,60,tcp,10.0.1.15,10.0.1.3
173,314.055,80,5040,60,tcp,10.0.1.17,10.0.1.3
174,313.51,80,4800,60,icmp,10.0.1.17,10.0.1.3
175,313.38,80,4800,60,icmp,10.0.1.18,10.0.1.3
176,313.335,80,4800,60,icmp,10.0.1.1,10.0.1.3
177,313.325,240,14400,60,icmp,10.0.1.7,10.0.1.3
178,313.31,120,7200,60,icmp,10.0.1.8,10.0.1.3
179,313.305,80,4800,60,icmp,10.0.1.11,10.0.1.3
180,313.27,80,4800,60,icmp,10.0.1.12,10.0.1.3
181,313.27,80,4800,60,icmp,10.0.1.13,10.0.1.3
182,313.25,80,4800,60,tcp,10.0.1.14,10.0.1.3
183,313.245,200,13680,60,tcp,10.0.1.15,10.0.1.3
184,313.245,80,5200,60,tcp,10.0.1.15,10.0.1.3
185,312.815,80,6400,60,tcp,10.0.1.4,10.0.1.3
186,312.815,80,4800,60,icmp,10.0.1.14,10.0.1.3
187,311.84,440,33600,60,tcp,10.0.1.4,10.0.1.3
188,311.405,200,16320,60,tcp,10.0.1.14,10.0.1.3
189,311.245,120,8640,60,tcp,10.0.1.5,10.0.1.3
190,311.22,440,32160,60,tcp,10.0.1.7,10.0.1.3
191,311.015,120,7200,60,icmp,10.0.1.16,10.0.1.3
192,310.835,80,4800,60,icmp,10.0.1.17,10.0.1.3
193,310.835,320,22080,60,tcp,10.0.1.10,10.0.1.3
194,310.69,80,5200,60,tcp,10.0.1.14,10.0.1.3
195,310.69,80,4800,60,tcp,10.0.1.1,10.0.1.3
196,310.69,280,19680,60,tcp,10.0.1.1,10.0.1.3
197,309.58,80,4800,60,icmp,10.0.1.11,10.0.1.3
198,309.495,80,4800,60,icmp,10.0.1.12,10.0.1.3
199,309.485,80,5040,60,tcp,10.0.1.16,10.0.1.3
200,309.155,80,5600,60,tcp,10.0.1.5,10.0.1.3
201,309.085,320,22080,60,tcp,10.0.1.19,10.0.1.3
202,308.985,80,4800,60,tcp,10.0.1.1,10.0.1.3
203,308.83,160,9600,60,tcp,10.0.1.2,10.0.1.3
204,308.82,120,7200,60,tcp,10.0.1.5,10.0.1.3
205,308.805,120,7200,60,icmp,10.0.1.17,10.0.1.3
206,308.385,80,4800,60,icmp,10.0.1.8,10.0.1.3
207,308.285,360,25920,60,tcp,10.0.1.9,10.0.1.3
208,306.21,80,6640,60,tcp,10.0.1.17,10.0.1.3
209,305.545,80,4800,60,tcp,10.0.1.19,10.0.1.3
210,305.425,80,7280,60,tcp,10.0.1.1,10.0.1.3
211,305.425,80,4800,60,icmp,10.0.1.15,10.0.1.3
212,305.33,80,4800,60,icmp,10.0.1.8,10.0.1.3
213,305.165,80,4800,60,icmp,10.0.1.11,10.0.1.3
214,305.14,320,22080,60,tcp,10.0.1.12,10.0.1.3
215,305.14,80,4800,60,icmp,10.0.1.17,10.0.1.3
216,305.055,320,23760,60,tcp,10.0.1.7,10.0.1.3
217,304.78,80,5040,60,tcp,10.0.1.14,10.0.1.3
218,304.585,280,21120,60,tcp,10.0.1.16,10.0.1.3
219,304.565,80,4800,60,tcp,10.0.1.10,10.0.1.3
220,304.36,80,4800,60,icmp,10.0.1.12,10.0.1.3
221,304.195,240,18720,60,tcp,10.0.1.2,10.0.1.3
222,304.145,80,5040,60,tcp,10.0.1.12,10.0.1.3
223,302.67,160,9600,60,icmp,10.0.1.18,10.0.1.3
224,302.03,80,4800,60,icmp,10.0.1.12,10.0.1.3
225,301.935,120,8640,60,tcp,10.0.1.16,10.0.1.3
226,300.44,80,6240,60,tcp,10.0.1.17,10.0.1.3
227,300.435,80,5200,60,tcp,10.0.1.10,10.0.1.3
228,300.34,80,4800,60,tcp,10.0.1.17,10.0.1.3
229,300.28,40,3840,60,udp,10.0.1.11,10.0.1.3
230,300.04,80,5040,60,tcp,10.0.1.14,10.0.1.3
231,300.005,40,2640,60,tcp,10.0.1.15,10.0.1.3
232,300.005,40,2400,60,icmp,10.0.1.6,10.0.1.3
