,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip
1509,54.36,40,3840,60,tcp,10.0.1.14,10.0.1.3
1510,54.359,240,3840,60,tcp,10.0.1.15,10.0.1.3
1511,54.358,40,3840,60,tcp,10.0.1.16,10.0.1.3
1512,54.357,40,3840,60,tcp,10.0.1.17,10.0.1.3
1513,54.354,40,3840,60,tcp,10.0.1.19,10.0.1.3
1514,54.349,40,3840,60,udp,10.0.1.5,10.0.1.3
1515,54.348,40,3840,60,udp,10.0.1.6,10.0.1.3
1516,54.34,40,3840,60,tcp,10.0.1.7,10.0.1.3
1517,54.338,280,3840,60,udp,10.0.1.8,10.0.1.3
1518,54.338,40,3840,60,udp,10.0.1.9,10.0.1.3
1519,54.338,40,3840,60,tcp,10.0.1.10,10.0.1.3
1520,54.338,40,3840,60,tcp,10.0.1.11,10.0.1.3
1521,54.337,40,3840,60,udp,10.0.1.14,10.0.1.3
1522,54.337,40,3840,60,udp,10.0.1.15,10.0.1.3
1523,54.334,40,3840,60,tcp,10.0.1.17,10.0.1.3
1524,54.334,40,3840,60,tcp,10.0.1.18,10.0.1.3
1525,54.333,40,3840,60,tcp,10.0.1.19,10.0.1.3
1526,54.331,40,3840,60,udp,10.0.1.4,10.0.1.3
1527,54.329,40,3840,60,udp,10.0.1.5,10.0.1.3
1528,54.328,40,3840,60,udp,10.0.1.6,10.0.1.3
1529,54.327,40,3840,60,udp,10.0.1.7,10.0.1.3
1530,54.326,40,3840,60,udp,10.0.1.8,10.0.1.3
1531,54.325,160,3840,60,udp,10.0.1.9,10.0.1.3
1532,54.318,40,3840,60,tcp,10.0.1.12,10.0.1.3
1533,54.317,40,3840,60,tcp,10.0.1.13,10.0.1.3
1534,54.31,40,3840,60,udp,10.0.1.17,10.0.1.3
1535,54.295,40,3840,60,udp,10.0.1.18,10.0.1.3
1536,54.295,40,3840,60,udp,10.0.1.19,10.0.1.3
1537,54.295,40,3840,60,udp,10.0.1.1,10.0.1.3
1538,54.295,40,3840,60,udp,10.0.1.2,10.0.1.3
1539,54.295,40,3840,60,udp,10.0.1.5,10.0.1.3
1540,54.295,40,3840,60,tcp,10.0.1.7,10.0.1.3
1541,54.294,40,3840,60,icmp,10.0.1.8,10.0.1.3
1542,54.281,80,3840,60,tcp,10.0.1.16,10.0.1.3
1543,54.266,40,3840,60,tcp,10.0.1.6,10.0.1.3
1544,54.261,40,3840,60,tcp,10.0.1.10,10.0.1.3
1545,54.255,40,3840,60,tcp,10.0.1.14,10.0.1.3
1546,54.25,80,3840,60,tcp,10.0.1.17,10.0.1.3
1547,54.248,40,3840,60,tcp,10.0.1.18,10.0.1.3
1548,54.241,280,3840,60,tcp,10.0.1.5,10.0.1.3
1549,54.241,40,3840,60,tcp,10.0.1.6,10.0.1.3
1550,54.239,40,3840,60,tcp,10.0.1.8,10.0.1.3
1551,54.237,40,3840,60,tcp,10.0.1.9,10.0.1.3
1552,54.234,40,3840,60,tcp,10.0.1.10,10.0.1.3
1553,54.233,40,3840,60,tcp,10.0.1.11,10.0.1.3
1554,54.233,40,3840,60,tcp,10.0.1.12,10.0.1.3
1555,54.231,40,3840,60,tcp,10.0.1.13,10.0.1.3
1556,54.229,40,3840,60,tcp,10.0.1.15,10.0.1.3
1557,54.227,40,3840,60,tcp,10.0.1.18,10.0.1.3
1558,54.225,40,3840,60,tcp,10.0.1.19,10.0.1.3
1559,54.224,40,3840,60,tcp,10.0.1.1,10.0.1.3
1560,54.221,40,3840,60,tcp,10.0.1.2,10.0.1.3
1561,54.216,40,3840,60,tcp,10.0.1.6,10.0.1.3
1562,54.213,40,3840,60,udp,10.0.1.7,10.0.1.3
1563,54.211,160,3840,60,udp,10.0.1.8,10.0.1.3
1564,54.209,40,3840,60,tcp,10.0.1.9,10.0.1.3
1565,54.199,40,3840,60,udp,10.0.1.16,10.0.1.3
1566,54.198,40,3840,60,udp,10.0.1.17,10.0.1.3
1567,54.195,40,3840,60,udp,10.0.1.18,10.0.1.3
1568,54.192,40,3840,60,udp,10.0.1.19,10.0.1.3
1569,54.189,40,3840,60,udp,10.0.1.1,10.0.1.3
1570,54.186,40,3840,60,udp,10.0.1.2,10.0.1.3
1571,54.183,40,3840,60,tcp,10.0.1.4,10.0.1.3
1572,54.179,40,3840,60,tcp,10.0.1.5,10.0.1.3
1573,54.179,40,3840,60,tcp,10.0.1.6,10.0.1.3
1574,54.174,40,3840,60,tcp,10.0.1.9,10.0.1.3
1575,54.169,40,3840,60,tcp,10.0.1.11,10.0.1.3
1576,54.167,240,3840,60,tcp,10.0.1.12,10.0.1.3
1577,54.165,40,3840,60,tcp,10.0.1.13,10.0.1.3
1578,54.159,40,3840,60,tcp,10.0.1.16,10.0.1.3
1579,54.158,40,3840,60,tcp,10.0.1.17,10.0.1.3
1580,54.155,200,3840,60,tcp,10.0.1.18,10.0.1.3
1581,54.153,40,3840,60,tcp,10.0.1.19,10.0.1.3
1582,54.149,120,3840,60,tcp,10.0.1.1,10.0.1.3
1583,54.142,40,3840,60,tcp,10.0.1.7,10.0.1.3
1584,54.14,40,3840,60,udp,10.0.1.8,10.0.1.3
1585,54.134,160,3840,60,udp,10.0.1.9,10.0.1.3
1586,54.129,40,3840,60,udp,10.0.1.16,10.0.1.3
1587,54.129,40,3840,60,udp,10.0.1.17,10.0.1.3
1588,54.128,80,3840,60,tcp,10.0.1.18,10.0.1.3
1589,54.125,40,3840,60,udp,10.0.1.1,10.0.1.3
1590,54.124,40,3840,60,udp,10.0.1.2,10.0.1.3
1591,54.123,120,3840,60,tcp,10.0.1.4,10.0.1.3
1592,54.12,40,3840,60,udp,10.0.1.5,10.0.1.3
1593,54.118,40,3840,60,udp,10.0.1.6,10.0.1.3
1594,54.11,120,3840,60,tcp,10.0.1.13,10.0.1.3
1595,54.109,40,3840,60,tcp,10.0.1.14,10.0.1.3
1596,54.108,40,3840,60,tcp,10.0.1.15,10.0.1.3
1597,54.107,40,3840,60,tcp,10.0.1.16,10.0.1.3
1598,54.103,80,3840,60,tcp,10.0.1.17,10.0.1.3
1599,54.103,80,3840,60,tcp,10.0.1.18,10.0.1.3
1600,54.103,40,3840,60,tcp,10.0.1.19,10.0.1.3
1601,54.101,40,3840,60,tcp,10.0.1.1,10.0.1.3
1602,54.099,80,3840,60,tcp,10.0.1.2,10.0.1.3
1603,54.091,40,3840,60,tcp,10.0.1.10,10.0.1.3
1604,54.085,40,3840,60,tcp,10.0.1.13,10.0.1.3
1605,54.085,40,3840,60,tcp,10.0.1.14,10.0.1.3
1606,54.084,200,3840,60,tcp,10.0.1.15,10.0.1.3
1607,54.078,40,3840,60,tcp,10.0.1.19,10.0.1.3
1608,54.078,40,3840,60,tcp,10.0.1.1,10.0.1.3
1609,54.078,40,3840,60,tcp,10.0.1.2,10.0.1.3
1610,54.07,40,3840,60,icmp,10.0.1.8,10.0.1.3
1611,54.065,120,3840,60,tcp,10.0.1.11,10.0.1.3
1612,54.061,200,3840,60,tcp,10.0.1.13,10.0.1.3
1613,54.048,40,3840,60,tcp,10.0.1.6,10.0.1.3
1614,54.047,40,3840,60,tcp,10.0.1.7,10.0.1.3
1615,54.042,40,3840,60,tcp,10.0.1.10,10.0.1.3
1616,54.04,40,3840,60,tcp,10.0.1.12,10.0.1.3
1617,54.037,120,3840,60,tcp,10.0.1.13,10.0.1.3
1618,54.036,200,3840,60,tcp,10.0.1.14,10.0.1.3
1619,54.033,40,3840,60,tcp,10.0.1.15,10.0.1.3
1620,54.027,40,3840,60,tcp,10.0.1.1,10.0.1.3
1621,54.007,40,3840,60,tcp,10.0.1.12,10.0.1.3
1622,53.995,40,3840,60,tcp,10.0.1.17,10.0.1.3
1623,53.993,40,3840,60,tcp,10.0.1.18,10.0.1.3
1624,53.993,40,3840,60,tcp,10.0.1.19,10.0.1.3
1625,53.992,40,3840,60,tcp,10.0.1.1,10.0.1.3
1626,53.975,40,3840,60,tcp,10.0.1.15,10.0.1.3
1627,53.969,120,3840,60,tcp,10.0.1.1,10.0.1.3
1628,53.959,80,3840,60,tcp,10.0.1.8,10.0.1.3
1629,53.959,40,3840,60,tcp,10.0.1.9,10.0.1.3
1630,53.956,40,3840,60,tcp,10.0.1.12,10.0.1.3
1631,53.954,40,3840,60,tcp,10.0.1.13,10.0.1.3
1632,53.953,80,3840,60,tcp,10.0.1.14,10.0.1.3
1633,53.95,40,3840,60,tcp,10.0.1.15,10.0.1.3
1634,53.934,360,3840,60,tcp,10.0.1.6,10.0.1.3
1635,53.932,40,3840,60,tcp,10.0.1.7,10.0.1.3
1636,53.929,40,3840,60,tcp,10.0.1.8,10.0.1.3
1637,53.914,120,3840,60,tcp,10.0.1.16,10.0.1.3
1638,53.912,40,3840,60,tcp,10.0.1.17,10.0.1.3
1639,53.91,40,3840,60,tcp,10.0.1.18,10.0.1.3
1640,53.908,40,3840,60,tcp,10.0.1.19,10.0.1.3
1641,53.904,40,3840,60,tcp,10.0.1.2,10.0.1.3
1642,53.903,120,3840,60,tcp,10.0.1.4,10.0.1.3
1643,53.9,40,3840,60,tcp,10.0.1.5,10.0.1.3
1644,53.899,280,3840,60,tcp,10.0.1.6,10.0.1.3
1645,53.894,80,3840,60,tcp,10.0.1.8,10.0.1.3
1646,53.891,40,3840,60,tcp,10.0.1.9,10.0.1.3
1647,53.888,40,3840,60,tcp,10.0.1.11,10.0.1.3
1648,53.888,40,3840,60,tcp,10.0.1.12,10.0.1.3
1649,53.877,40,3840,60,tcp,10.0.1.19,10.0.1.3
1650,53.873,40,3840,60,tcp,10.0.1.5,10.0.1.3
1651,53.871,40,3840,60,tcp,10.0.1.7,10.0.1.3
1652,53.86,40,3840,60,icmp,10.0.1.14,10.0.1.3
1653,53.836,40,3840,60,tcp,10.0.1.11,10.0.1.3
1654,53.834,80,3840,60,tcp,10.0.1.13,10.0.1.3
1655,53.83,40,3840,60,tcp,10.0.1.14,10.0.1.3
1656,53.829,40,3840,60,tcp,10.0.1.17,10.0.1.3
1657,53.823,40,3840,60,tcp,10.0.1.6,10.0.1.3
1658,53.82,40,3840,60,tcp,10.0.1.8,10.0.1.3
1659,53.812,40,3840,60,tcp,10.0.1.14,10.0.1.3
1660,53.81,40,3840,60,tcp,10.0.1.15,10.0.1.3
1661,53.809,40,3840,60,tcp,10.0.1.16,10.0.1.3
1662,53.808,400,3840,60,tcp,10.0.1.17,10.0.1.3
1663,53.797,80,3840,60,tcp,10.0.1.5,10.0.1.3
1664,53.794,40,3840,60,tcp,10.0.1.8,10.0.1.3
1665,53.793,40,3840,60,tcp,10.0.1.9,10.0.1.3
1666,53.789,80,3840,60,tcp,10.0.1.13,10.0.1.3
1667,53.785,40,3840,60,tcp,10.0.1.16,10.0.1.3
1668,53.784,40,3840,60,tcp,10.0.1.17,10.0.1.3
1669,53.781,40,3840,60,tcp,10.0.1.18,10.0.1.3
1670,53.78,40,3840,60,tcp,10.0.1.19,10.0.1.3
1671,53.779,40,3840,60,tcp,10.0.1.1,10.0.1.3
1672,53.777,40,3840,60,udp,10.0.1.4,10.0.1.3
1673,53.775,40,3840,60,tcp,10.0.1.5,10.0.1.3
1674,53.766,40,3840,60,tcp,10.0.1.12,10.0.1.3
1675,53.762,40,3840,60,tcp,10.0.1.13,10.0.1.3
1676,53.758,40,3840,60,tcp,10.0.1.17,10.0.1.3
1677,53.732,40,3840,60,tcp,10.0.1.18,10.0.1.3
1678,53.728,120,3840,60,tcp,10.0.1.2,10.0.1.3
1679,53.727,40,3840,60,tcp,10.0.1.4,10.0.1.3
1680,53.721,40,3840,60,tcp,10.0.1.9,10.0.1.3
1681,53.718,120,3840,60,tcp,10.0.1.10,10.0.1.3
1682,53.716,40,3840,60,tcp,10.0.1.11,10.0.1.3
1683,53.712,80,3840,60,tcp,10.0.1.14,10.0.1.3
1684,53.71,40,3840,60,tcp,10.0.1.15,10.0.1.3
1685,53.71,40,3840,60,tcp,10.0.1.16,10.0.1.3
